ELEITO,SQ_CANDIDATO,CD_CARGO,NR_IDADE_DATA_POSSE,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_COR_RACA,CD_OCUPACAO,CD_REELEICAO,VR_BEM_CANDIDATO,QT_VOTOS_NOMINAIS
1,250001609993,7,500,2,8,3,1,185,0,42814568,76715
0,190001649609,7,400,2,6,9,3,166,0,410000,76715
0,250001614955,7,580,4,8,3,1,131,0,2810152,876
1,180001605762,7,340,2,8,1,1,111,0,6016426,44256
0,250001646383,7,490,2,6,3,2,278,0,6110000,6189
0,110001721637,7,480,4,7,9,3,163,0,1200000,110
0,230001604227,6,650,2,8,3,1,125,0,65757579,906
0,100001607116,7,290,2,8,1,1,931,0,800000,20903
0,100001620076,7,370,2,6,3,3,999,0,4440000,1101
0,250001677883,6,510,2,7,3,1,257,0,8175000,544
1,190001596785,6,540,2,8,3,3,277,0,127091237,167512
0,160001654857,6,560,2,8,3,1,131,0,110491546,2719
0,110001655613,7,660,2,8,3,1,278,0,4576650,1994
1,170001618756,7,330,2,6,1,3,277,1,883627,53024
0,160001623117,7,410,4,7,9,1,278,0,2660000,6507
0,210001604659,6,630,2,6,3,3,296,0,14526920,1992
1,80001648792,7,590,2,8,3,5,233,0,500000,98669
0,160001622174,7,400,4,8,3,1,131,0,233634901,6201
1,160001622206,7,490,2,8,3,1,101,0,104014303,34640
1,160001614782,7,570,4,6,5,3,169,0,44591103,41263
0,160001717496,6,600,2,8,3,3,233,0,250000,799
0,80001650196,6,440,4,8,3,1,131,0,5830197,4347
0,250001619386,7,430,2,8,3,1,114,0,2500000,1387
0,160001615008,7,410,4,8,9,3,999,0,1900000,2289
0,240001644774,7,340,4,8,1,1,278,0,1012900,2506
0,190001612219,7,520,2,6,3,3,298,0,157485519,18308
0,210001601954,7,460,4,8,9,1,999,0,875800,1504
0,160001621988,6,630,2,8,1,1,923,0,6600000,154
0,160001614547,6,430,2,8,1,1,131,0,43890515,2657
0,270001654161,6,460,2,8,3,3,233,0,700000,424
0,160001716018,7,430,4,4,7,1,257,0,520000,642
0,20001611722,6,430,4,8,3,1,296,0,16000000,2969
0,140001601808,7,270,2,6,1,1,278,0,586800,7668
0,210001647864,6,390,4,8,1,1,109,0,458,742
0,120001614729,7,400,2,8,3,3,403,0,284740586,4849
0,110001643419,7,550,2,8,9,3,266,0,3956501,10358
0,210001725322,6,260,4,6,1,3,999,0,90450,36
0,250001597794,7,400,2,8,3,1,303,0,2660000,2066
0,60001668627,6,380,4,6,1,1,243,0,240000,150
1,50001634584,6,740,2,8,3,3,277,1,962541589,78833
0,170001610569,6,620,2,8,3,1,999,0,800000,1423
0,150001620839,7,470,2,6,3,2,536,0,2886000,725
0,150001612079,6,400,2,8,3,1,278,0,490000,3344
0,220001713852,7,410,2,8,3,3,232,0,2000000,898
0,130001645068,7,510,2,6,3,2,999,0,4400000,767
0,250001699811,7,530,2,8,1,3,233,0,10,520
1,160001623098,7,490,2,8,3,1,277,1,47508353,35432
1,160001623113,7,700,2,8,3,1,277,1,14908290700000000,116810
0,190001603214,7,540,4,8,1,2,125,0,600000,252
0,170001610566,6,670,2,6,9,1,999,0,100000,12672
0,150001603200,6,380,2,8,3,3,131,0,32492746,6586
0,260001600241,6,480,4,8,3,3,297,0,25249395,2158
0,160001654921,6,450,4,8,1,1,999,0,8291954600000000,2158
0,220001609485,7,480,4,8,3,3,999,0,4876446,10
0,140001649391,7,690,4,8,9,1,265,0,1500000,88
0,130001619778,6,280,2,8,1,1,278,0,2000000,445
0,190001619233,6,480,2,8,3,1,297,0,5262661800000000,1144
0,50001605980,7,470,2,8,3,1,131,0,15777000,41798
0,70001611521,8,450,2,8,9,3,999,0,60007666,2876
0,170001618409,7,360,2,8,1,3,931,0,800000,7177
0,160001622291,6,620,2,8,3,1,101,0,25752587800000000,1095
